0,2401,367,3298
0.1,2402,371,3299
0.2,2426,385,3293
0.3,2389,364,3317
0.4,2420,374,3308
0.5,2412,354,3312
0.6,2427,365,3318
0.7,2401,358,3313
0.8,2420,361,3314
0.9,2398,346,3323
1,2391,347,3316
1.1,2391,347,3316
1.2,2473,373,3312
1.3,2652,370,3646
1.4,1570,-179,4645
1.5,2211,-93,4734
1.6,1961,400,4482
1.7,2008,417,4443
1.8,1156,888,3763
1.9,735,1614,3269
2,571,1594,3275
2.1,-134,2457,2408
2.2,-93,2547,2556
2.3,185,2736,2943
2.4,345,2817,3516
2.5,216,2866,3325
2.6,-427,3142,2125
2.7,-638,3119,2673
2.8,-699,3078,2726
2.9,-876,3255,2662
3,-683,3059,2471
3.1,-702,3070,2554
3.2,-662,3292,2464
3.3,-630,3216,2346
3.4,-629,3254,2336
3.5,-743,2918,2233
3.6,-661,2436,2812
3.7,-579,2358,2834
3.8,-480,2148,3243
3.9,348,1951,3330
4,-19,1962,2971
4.1,1089,1141,4356
4.2,1643,606,4067
4.3,1154,598,4274
4.4,1237,364,4142
4.5,1237,364,4142
4.6,1303,347,4228
4.7,1433,-173,4584
4.8,994,139,3465
4.9,1113,165,3509
5,1138,99,3528
5.1,1409,-220,4051
5.2,1902,-295,4092
5.3,2127,-365,3921
5.4,2118,-1362,3007
5.5,2117,-1342,2980
5.6,2191,-2040,3081
5.7,1207,-620,3968
5.8,768,-1615,4086
5.9,601,-1584,3762
6,974,-772,3698
6.1,926,-792,3727
6.2,1061,-949,3991
6.3,1229,-752,4146
6.4,1227,-581,4366
6.5,1397,-724,4372
6.6,1225,-611,3846
6.7,1266,-698,4069
6.8,1386,-687,4008
6.9,1101,-413,3763
7,1678,-255,3792
7.1,1417,-276,3820
7.2,1472,-296,3835
7.3,1492,-258,3855
7.4,1447,-264,3877
7.5,1435,-250,3861
7.6,1424,-270,3844
7.7,1334,-309,3873
7.8,1352,-308,3882
7.9,1400,-301,3888
8,1429,-266,3847
8.1,1429,-266,3847
8.2,1430,-247,3834
8.3,1469,-238,3832
8.4,1452,-255,3814
8.5,1452,-251,3838
8.6,1448,-242,3820
8.7,1459,-249,3831
8.8,1459,-249,3831
8.9,1469,-253,3817
9,1492,-255,3819
9.1,1443,-247,3838
9.2,1456,-242,3840
9.3,1523,-220,3791
9.4,1496,-233,3813
9.5,1547,-219,3834
9.6,1530,-217,3823
9.7,1539,-209,3803
9.8,1516,-225,3802
9.9,1524,-237,3804
10,1504,-242,3794
10.1,1503,-242,3807
10.2,1517,-227,3819
10.3,1660,-217,3857
10.4,1469,-402,4769
10.5,1407,-218,4736
10.6,1351,205,3878
10.7,1396,577,3828
10.8,1138,606,3852
10.9,1156,1091,3859
11,966,1284,4111
11.1,944,1279,4105
11.2,431,1381,4009
11.3,368,1748,3739
11.4,368,1748,3739
11.5,393,2232,3560
11.6,372,2549,2875
11.7,-9,2936,2681
11.8,-3,3021,2694
11.9,-52,2924,2849
12,-372,3302,2708
12.1,-372,3302,2708
12.2,-442,3298,2578
12.3,-547,3516,1863
12.4,-1191,3729,950
12.5,-990,3417,966
12.6,-1223,3694,823
12.7,-1108,3222,1327
12.8,-1098,3123,1384
12.9,-1041,2939,1901
13,370,2311,2774
13.1,381,2315,2794
13.2,947,1608,3643
13.3,1030,1257,4143
13.4,1003,1253,4141
13.5,1784,855,4500
13.6,1522,523,4532
13.7,1634,621,4036
13.8,1613,611,4021
13.9,1586,625,3624
14,1729,588,3747
14.1,1661,562,3758
14.2,1527,349,3447
14.3,1968,144,3861
14.4,1978,149,3985
14.5,1510,-62,3511
14.6,1884,-110,3920
14.7,1885,-119,3908
14.8,1767,-126,3678
14.9,1737,-125,3672
15,1707,-169,3739
15.1,1717,-168,3726
15.2,1752,-137,3712
15.3,1806,-111,3679
15.4,1809,-117,3680
15.5,1776,-96,3683
15.6,1773,-120,3689
15.7,1773,-120,3689
15.8,1806,-113,3694
15.9,1781,-112,3687
16,1781,-112,3687
16.1,1821,-104,3701
16.2,1777,-126,3686
16.3,1883,-75,3659
16.4,1887,-85,3622
16.5,1854,-95,3658
16.6,1875,-81,3628
16.7,1886,-90,3640
16.8,1896,-48,3637
16.9,1896,-48,3637
17,1854,-73,3688
17.1,1780,-114,3696
17.2,1843,-87,3669
17.3,1857,-110,3663
17.4,1852,-87,3668
17.5,1697,-171,3750
17.6,2057,38,3571
17.7,2036,-9,3561
17.8,1909,-61,3632
17.9,1909,-61,3632
18,1920,-81,3599
18.1,1983,-48,3583
18.2,1980,-47,3617
18.3,1884,-80,3623
18.4,1972,-63,3610
18.5,1957,-49,3616
18.6,1911,-61,3598
18.7,1967,-61,3590
18.8,1986,-48,3586
18.9,1989,-66,3588
19,1995,-47,3580
19.1,1966,-71,3599
19.2,1977,-65,3619
19.3,2005,-52,3607
19.4,1986,-62,3591
19.5,1986,-62,3591
19.6,1975,-80,3598
19.7,2102,-25,3550
19.8,1943,-87,3578
19.9,1959,-82,3600
20,1990,-56,3567
20.1,1992,-66,3571
20.2,1977,-66,3585
20.3,2006,-64,3567
20.4,2015,-44,3575
20.5,2015,-44,3575
20.6,2014,-77,3582
20.7,1992,-74,3560
20.8,1995,-59,3580
20.9,2010,-63,3584
21,1977,-61,3590
21.1,1982,-54,3604
21.2,3853,-96,4401
21.3,4418,-108,5564
21.4,1859,309,4680
21.5,1223,925,3290
21.6,1162,897,3170
21.7,479,1607,2841
21.8,525,1978,3591
21.9,701,2053,3650
22,706,2031,4000
22.1,735,2082,3954
22.2,487,2575,3185
22.3,137,2956,2569
22.4,154,2954,2511
22.5,-455,3200,2264
22.6,-478,3210,2302
22.7,-911,3426,1570
22.8,-1154,3736,1240
22.9,-1323,3741,1264
23,-806,3562,1418
23.1,-518,3290,1917
23.2,-518,3290,1917
23.3,168,2923,2466
23.4,447,2215,2611
23.5,275,2249,2774
23.6,969,1399,3677
23.7,1178,914,3364
23.8,1054,813,3707
23.9,1425,402,4898
24,1659,62,4381
24.1,1760,208,4481
24.2,1906,56,4290
24.3,1503,-100,3668
24.4,1848,-248,4182
24.5,1904,-237,4160
24.6,1503,-247,3656
24.7,1662,-375,3844
24.8,1622,-349,3778
24.9,1873,-309,3717
25,1767,-360,3674
25.1,1739,-350,3682
25.2,2220,-71,3471
25.3,2228,-142,3458
25.4,2197,-145,3474
25.5,2067,-194,3521
25.6,2211,-129,3469
25.7,2154,-152,3482
25.8,2089,-201,3520
25.9,2121,-225,3498
26,2183,-147,3450
26.1,2178,-166,3475
26.2,2188,-160,3454
26.3,2171,-179,3458
26.4,2195,-164,3460
26.5,2196,-182,3447
26.6,2193,-168,3441
26.7,2211,-169,3439
26.8,2211,-169,3439
26.9,2273,-151,3419
27,2171,-195,3449
27.1,2185,-189,3435
27.2,2234,-158,3430
27.3,2209,-180,3420
27.4,2222,-160,3423
27.5,2223,-154,3417
27.6,2250,-151,3431
27.7,2268,-134,3424
27.8,2200,-170,3462
27.9,2191,-173,3451
28,2197,-172,3440
28.1,2193,-165,3445
28.2,2194,-150,3447
28.3,2304,-147,3410
28.4,2098,-211,3490
28.5,2133,-198,3491
28.6,2119,-187,3475
28.7,2126,-200,3481
28.8,2129,-193,3466
28.9,2155,-172,3452
29,2132,-190,3487
29.1,2099,-187,3491
29.2,2141,-190,3474
29.3,2175,-173,3469
29.4,2156,-183,3467
29.5,2161,-172,3474
29.6,2132,-199,3488
29.7,2165,-171,3459
29.8,2173,-189,3463
29.9,2140,-186,3468
30,2161,-199,3453
30.1,2153,-194,3457
30.2,2212,-174,3468
30.3,2000,-235,3491
30.4,1961,-240,3506
30.5,2136,-167,3469
30.6,2109,-195,3474
30.7,2117,-196,3483
30.8,2086,-202,3494
30.9,2114,-190,3493
31,2102,-194,3501
31.1,2112,-209,3494
31.2,2129,-198,3478
31.3,2101,-185,3495
31.4,2129,-213,3612
31.5,2300,-346,6233
31.6,3083,-540,5548
31.7,1620,509,3373
31.8,650,1381,2774
31.9,934,1828,3233
32,709,1699,3369
32.1,810,1992,3511
32.2,723,2442,3180
32.3,723,2442,3180
32.4,430,2797,2615
32.5,92,3073,2252
32.6,-182,3220,2028
32.7,-154,3273,2017
32.8,-297,3323,2061
32.9,-314,3379,1829
33,-314,3379,1829
33.1,-352,3260,1811
33.2,27,2854,2259
33.3,118,2223,2275
33.4,131,2075,2482
33.5,1052,1715,2897
33.6,1934,814,4092
33.7,1841,719,4200
33.8,1383,240,4795
33.9,1478,-267,4478
34,1414,-166,3753
34.1,1439,-164,3589
34.2,2037,-313,3938
34.3,1949,-276,3758
34.4,1937,-290,3808
34.5,1785,-332,3587
34.6,1968,-286,3618
34.7,1968,-286,3618
34.8,2105,-205,3593
34.9,2032,-275,3547
35,2032,-275,3547
35.1,2169,-194,3500
35.2,2135,-215,3476
35.3,2135,-215,3476
35.4,2080,-238,3512
35.5,2121,-222,3493
35.6,2121,-222,3493
35.7,2135,-233,3489
35.8,2114,-218,3509
35.9,2114,-218,3509
36,2092,-248,3498
36.1,2128,-237,3488
36.2,2127,-234,3492
36.3,2136,-237,3482
36.4,2112,-241,3508
36.5,2098,-235,3523
36.6,2141,-230,3466
36.7,2145,-229,3475
36.8,2085,-252,3516
36.9,2109,-218,3516
37,2113,-231,3506
37.1,2096,-238,3504
37.2,2085,-246,3496
37.3,2060,-251,3526
37.4,2128,-240,3486
37.5,2109,-223,3496
37.6,2097,-244,3507
37.7,2102,-230,3491
37.8,2125,-226,3479
37.9,2121,-239,3489
38,2108,-233,3487
38.1,2082,-248,3487
38.2,2085,-263,3516
38.3,2129,-242,3493
38.4,2106,-240,3491
38.5,2083,-265,3513
38.6,2102,-257,3496
38.7,2055,-246,3513
38.8,2068,-268,3521
38.9,2114,-259,3488
39,2085,-262,3522
39.1,2094,-251,3514
39.2,2101,-248,3509
39.3,2098,-266,3501
39.4,2125,-247,3506
39.5,2087,-248,3499
39.6,2095,-245,3480
39.7,2091,-252,3499
39.8,2113,-248,3513
39.9,2112,-248,3516
40,2078,-272,3531
40.1,2077,-280,3525
40.2,2114,-251,3492
40.3,2101,-251,3498
40.4,2075,-250,3504
40.5,2096,-260,3480
40.6,2090,-241,3508
40.7,2083,-257,3508
40.8,2087,-251,3503
40.9,2096,-238,3509
41,2091,-257,3511
41.1,2091,-257,3511
41.2,2124,-250,3507
41.3,2933,-358,4343
41.4,2397,-202,4975
41.5,2266,-60,5063
41.6,1948,610,3772
41.7,851,1471,2929
41.8,821,1542,3005
41.9,660,2000,3206
42,606,2381,3079
42.1,679,2398,3067
42.2,316,2671,2727
42.3,66,2993,2522
42.4,65,2981,2528
42.5,-72,3343,2353
42.6,-185,3320,2325
42.7,-189,3359,2299
42.8,-362,3471,1934
42.9,-309,3614,1989
43,-586,3893,1477
43.1,-700,3886,1373
43.2,-821,3482,958
43.3,-316,3126,1290
43.4,-316,3126,1290
43.5,-48,2125,1664
43.6,990,1586,3837
43.7,990,1586,3837
43.8,1287,453,5159
43.9,2037,230,4447
44,1892,320,4596
44.1,1760,130,4240
44.2,1466,139,3913
44.3,1445,128,3723
44.4,1435,102,3728
44.5,1698,-68,3926
44.6,1590,-174,3894
44.7,1633,-167,3767
44.8,1684,-192,3759
44.9,1885,-168,3621
45,1885,-195,3616
45.1,1960,-197,3569
45.2,2170,-97,3455
45.3,2272,-59,3404
45.4,2296,-49,3409
45.5,2267,-78,3416
45.6,2204,-74,3433
45.7,2227,-68,3431
45.8,2225,-87,3395
45.9,2407,-2,3394
46,2407,-2,3394
46.1,2016,-179,3507
46.2,2328,-71,3409
46.3,2328,-71,3409
46.4,2274,-96,3414
46.5,2227,-88,3412
46.6,2227,-97,3436
46.7,2234,-115,3414
46.8,2246,-91,3415
46.9,2275,-79,3406
47,2229,-89,3457
47.1,2225,-97,3446
47.2,2239,-82,3412
47.3,2256,-92,3425
47.4,2213,-80,3425
47.5,2208,-91,3427
47.6,2234,-92,3415
47.7,2198,-85,3420
47.8,2176,-105,3431
47.9,2262,-78,3428
48,2197,-132,3456
48.1,2171,-121,3436
48.2,2235,-110,3440
48.3,2246,-146,3430
48.4,2246,-146,3430
48.5,2261,-77,3415
48.6,2219,-104,3430
48.7,2219,-104,3430
48.8,2182,-102,3441
48.9,2237,-105,3420
49,2224,-97,3428
49.1,2223,-99,3428
49.2,2216,-105,3437
49.3,2233,-99,3421
49.4,2204,-87,3429
49.5,2245,-99,3416
49.6,2251,-95,3415
49.7,2235,-98,3430
49.8,2220,-100,3422
49.9,2216,-102,3420
50,2209,-115,3431
50.1,2215,-101,3445
50.2,2230,-100,3437
50.3,2255,-96,3421
50.4,2207,-118,3439
50.5,2213,-98,3424
50.6,2220,-109,3427
50.7,2240,-111,3444
50.8,2240,-111,3444
50.9,2229,-111,3419
51,2202,-110,3450
51.1,2202,-110,3450
51.2,2236,-94,3422
51.3,2264,-82,3418
51.4,4184,-346,4979
51.5,5728,-602,5113
51.6,2396,-195,4562
51.7,1162,801,3067
51.8,1153,960,2987
51.9,988,1712,2899
52,657,2286,2979
52.1,745,2191,2970
52.2,627,2836,2568
52.3,515,3087,2389
52.4,558,3132,2357
52.5,429,3229,2314
52.6,-308,3480,1896
52.7,-139,3414,1856
52.8,-478,3628,1889
52.9,-107,3396,2169
53,-80,3436,2165
53.1,272,3328,2600
53.2,213,3459,2126
53.3,408,3514,1995
53.4,359,3339,1955
53.5,514,3160,2004
53.6,857,2650,2343
53.7,1005,2590,2392
53.8,819,1625,2989
53.9,1296,1353,4100
54,1296,1353,4100
54.1,1100,817,3966
54.2,1311,904,3832
54.3,1486,411,3998
54.4,1580,386,4002
54.5,1244,389,3356
54.6,2905,-943,6040
54.7,2848,-1044,6137
54.8,898,-245,2826
54.9,1868,-438,4208
55,1675,-415,3852
55.1,1722,-398,4020
55.2,1583,-330,3556
55.3,1721,-320,3682
55.4,1816,-360,3698
55.5,1846,-341,3688
55.6,1503,-438,3760
55.7,1730,-336,3696
55.8,1671,-359,3759
55.9,1696,-354,3701
56,1710,-346,3707
56.1,1710,-343,3702
56.2,1731,-349,3711
56.3,1641,-365,3736
56.4,1718,-345,3699
56.5,1652,-376,3729
56.6,1666,-378,3725
56.7,1673,-370,3713
56.8,1617,-384,3729
56.9,1639,-392,3736
57,1639,-392,3736
57.1,1639,-392,3736
57.2,1639,-392,3736
57.3,1639,-392,3736
57.4,1639,-392,3736
57.5,1639,-392,3736
57.6,1639,-392,3736
57.7,1639,-392,3736
57.8,1639,-392,3736
57.9,1639,-392,3736
58,1639,-392,3736
58.1,1639,-392,3736
58.2,1639,-392,3736
