0,3871,-111,1361
0.1,3860,-97,1347
0.2,3866,-108,1360
0.3,3852,-110,1380
0.4,3852,-110,1380
0.5,3874,-93,1357
0.6,3864,-93,1342
0.7,3854,-104,1382
0.8,3870,-111,1373
0.9,3860,-83,1355
1,3859,-111,1344
1.1,3857,-100,1355
1.2,3868,-100,1361
1.3,8125,-1053,2226
1.4,5722,-4700,6364
1.5,6206,-4739,5771
1.6,-1401,314,-2095
1.7,-3096,4762,-2233
1.8,-3096,4762,-2233
1.9,-1158,1661,-694
2,52,-1570,2994
2.1,8714,-3433,7446
2.2,13117,-5082,13205
2.3,1968,-466,1735
2.4,4744,104,2885
2.5,3485,-114,1856
2.6,3104,-143,1685
2.7,4035,-125,2331
2.8,3095,-123,1755
2.9,3105,-128,1755
3,3770,-2,1778
3.1,3860,-109,1834
3.2,3862,-110,1849
3.3,3739,-50,1769
3.4,3691,-94,1746
3.5,3705,-82,1739
3.6,3703,-88,1727
3.7,3708,-74,1750
3.8,3710,-98,1751
3.9,3742,-81,1756
4,3738,-88,1753
4.1,3739,-86,1734
4.2,3739,-86,1734
4.3,3725,-87,1765
4.4,3731,-87,1740
4.5,3718,-91,1736
4.6,3721,-94,1751
4.7,3735,-86,1740
4.8,3715,-85,1739
4.9,3715,-85,1739
5,3727,-83,1742
5.1,3730,-91,1732
5.2,3723,-80,1750
5.3,3711,-84,1741
5.4,3722,-88,1737
5.5,3729,-72,1755
5.6,3728,-76,1734
5.7,3739,-91,1732
5.8,3717,-97,1738
5.9,3719,-79,1752
6,3720,-88,1743
6.1,3730,-86,1742
6.2,3736,-89,1749
6.3,3745,-88,1760
6.4,3731,-89,1741
6.5,3737,-92,1751
6.6,7209,-2360,3383
6.7,7742,-2733,3881
6.8,5598,-4907,5333
6.9,-1721,232,-2280
7,-1721,232,-2280
7.1,-4160,4551,-2383
7.2,1053,575,146
7.3,2937,-1109,2952
7.4,4037,-2570,3743
7.5,5284,-1632,4290
7.6,2461,43,1716
7.7,4132,28,2279
7.8,4798,132,2500
7.9,3131,-79,1456
8,4153,-86,2279
8.1,3307,-70,1628
8.2,3504,-30,1636
8.3,3672,-65,1422
8.4,3919,-90,1656
8.5,3877,-85,1649
8.6,3719,-94,1756
8.7,3920,-17,1606
8.8,3746,-117,1646
8.9,3711,-118,1635
9,3816,-33,1577
9.1,3864,-102,1573
9.2,3766,-84,1615
9.3,3788,-66,1616
9.4,3850,-47,1560
9.5,3844,-112,1563
9.6,3834,-111,1556
9.7,3807,-40,1572
9.8,3803,-4,1464
9.9,3874,-92,1578
10,3880,-107,1613
10.1,3757,-52,1503
10.2,3809,-92,1557
10.3,3802,-92,1550
10.4,3812,-71,1549
10.5,3804,-68,1533
10.6,3793,-66,1537
10.7,3798,-79,1528
10.8,3803,-79,1545
10.9,3813,-73,1537
11,3814,-84,1532
11.1,3819,-72,1525
11.2,3808,-84,1538
11.3,3809,-82,1528
11.4,3804,-75,1521
11.5,3813,-71,1536
11.6,7891,-1176,3485
11.7,7891,-1176,3485
11.8,5775,-2702,3516
11.9,-1632,1063,-1731
12,-4511,3112,-2074
12.1,-4021,2796,-1710
12.2,1959,131,2243
12.3,6724,-1730,4422
12.4,6902,-1249,4048
12.5,4182,-474,2285
12.6,4530,-116,2621
12.7,4240,-24,2362
12.8,3509,-110,1779
12.9,3992,-222,1898
13,3975,-227,1863
13.1,3918,-14,1777
13.2,3693,-88,1696
13.3,3694,-95,1689
13.4,3708,-100,1659
13.5,3752,-67,1660
13.6,3750,-66,1666
13.7,3777,-111,1668
13.8,3774,-55,1673
13.9,3765,-69,1642
14,3794,-87,1649
14.1,3751,-95,1639
14.2,3814,-71,1584
14.3,3807,-79,1570
14.4,3767,-87,1615
14.5,3729,-151,1576
14.6,3724,-113,1577
14.7,3628,-23,1767
14.8,3898,-287,1533
14.9,3903,-196,1650
15,3776,-171,1587
15.1,3927,8,1324
15.2,3952,-3,1309
15.3,3895,-151,1333
15.4,3756,-46,1611
15.5,3798,-30,1522
15.6,3809,-16,1502
15.7,3918,-81,1384
15.8,3807,-63,1499
15.9,3839,-74,1484
16,3848,-78,1498
16.1,3865,-75,1443
16.2,3844,-62,1446
16.3,3848,-90,1447
16.4,3844,-65,1470
16.5,3824,-69,1473
16.6,5440,-237,1424
16.7,5974,-726,1900
16.8,5279,-3995,3731
16.9,-1118,559,-2398
17,-3991,3981,-2757
17.1,-3864,4021,-2671
17.2,-527,1238,-819
17.3,6389,-2872,3355
17.4,6389,-2872,3355
17.5,10995,-3245,9819
17.6,1602,-165,1342
17.7,5708,521,2180
17.8,4857,357,2198
17.9,3741,-220,1191
18,3480,-103,1545
18.1,4151,54,1568
18.2,4108,39,1557
18.3,3848,-123,1502
18.4,3726,-52,1425
18.5,3804,-61,1486
18.6,3793,-69,1466
