0,-3954,206,-1044
0.1,-3954,206,-1044
0.2,-3960,192,-1038
0.3,-3897,165,-1025
0.4,-3897,165,-1025
0.5,-3972,197,-1035
0.6,-3940,195,-1083
0.7,-3922,195,-1019
0.8,-3931,175,-1063
0.9,-4555,377,-1297
1,-3874,435,-1792
1.1,-3763,346,-1717
1.2,-3503,746,-2000
1.3,-3214,1247,-1523
1.4,-3214,1247,-1523
1.5,-3096,1425,-1776
1.6,-2970,1554,-1415
1.7,-4659,1949,-580
1.8,-4535,1979,-1555
1.9,-3025,1964,-1478
2,-2664,1795,-1200
2.1,-2727,1820,-1144
2.2,-3622,2050,-1034
2.3,-3025,1940,-776
2.4,-3575,1780,-472
2.5,-3589,2022,-616
2.6,-3380,2242,-426
2.7,-3380,2242,-426
2.8,-3760,2178,-163
2.9,-3612,2080,386
3,-3509,2112,301
3.1,-3761,2288,500
3.2,-3716,2107,325
3.3,-3716,2107,325
3.4,-3815,2144,-19
3.5,-3578,2202,-63
3.6,-3361,2209,-203
3.7,-3286,2170,-99
3.8,-3194,2329,-339
3.9,-3298,2369,-198
4,-3371,2396,-363
4.1,-3122,2302,-883
4.2,-2980,2474,-1070
4.3,-2899,2335,-1079
4.4,-2271,2331,-828
4.5,-2739,2348,-1237
4.6,-2792,2181,-1447
4.7,-3203,1984,-2022
4.8,-3130,1721,-2092
4.9,-3127,1654,-2059
5,-2849,1561,-1908
5.1,-3222,1464,-1905
5.2,-3295,1367,-2181
5.3,-3193,1281,-2169
5.4,-3418,913,-2692
5.5,-2921,994,-2711
5.6,-2986,1052,-2578
5.7,-3282,1411,-1602
5.8,-3425,241,-2799
5.9,-3643,84,-2297
6,-3550,373,-2612
6.1,-2599,456,-2603
6.2,-3011,445,-2972
6.3,-2961,379,-2950
6.4,-3584,1087,-2558
6.5,-3137,750,-1800
6.6,-2942,905,-698
6.7,-2959,906,-619
6.8,-3918,2546,-2077
6.9,-2230,1256,-2470
7,-1849,810,-1841
7.1,-2209,863,-2043
7.2,-3760,926,-2921
7.3,-3041,908,-2310
7.4,-3239,892,-2349
7.5,-2929,741,-1948
7.6,-3709,989,-2295
7.7,-3595,925,-2254
7.8,-3562,857,-1995
7.9,-3539,908,-1938
8,-3528,901,-1929
8.1,-3462,812,-1927
8.2,-3593,866,-1790
8.3,-3599,862,-1802
8.4,-3508,839,-1872
8.5,-3515,849,-1830
8.6,-3530,859,-1834
8.7,-3522,842,-1866
8.8,-3513,880,-1880
8.9,-3520,857,-1877
9,-3531,880,-1864
9.1,-3515,861,-1840
9.2,-3510,853,-1848
9.3,-3511,849,-1836
9.4,-3525,855,-1853
9.5,-3533,884,-1859
9.6,-3519,863,-1858
9.7,-3519,863,-1858
9.8,-3530,885,-1833
9.9,-3534,871,-1821
10,-3526,865,-1860
10.1,-3514,862,-1849
10.2,-3533,875,-1888
10.3,-3521,850,-1845
10.4,-3549,857,-1846
10.5,-3547,876,-1866
10.6,-3533,868,-1851
10.7,-3618,797,-1909
10.8,-3628,666,-2819
10.9,-3761,708,-2835
11,-4312,969,-1529
11.1,-3059,548,-1446
11.2,-3590,997,-999
11.3,-3629,1035,-1170
11.4,-3861,877,-1651
11.5,-3861,877,-1651
11.6,-3676,821,-1316
11.7,-3513,539,-1309
11.8,-3565,600,-1269
11.9,-3951,661,-1014
12,-3489,392,-597
12.1,-3386,340,-454
12.2,-4701,659,765
12.3,-5230,724,1184
12.4,-5206,717,1146
12.5,-4027,429,1035
12.6,-3999,792,654
12.7,-4036,868,483
12.8,-4110,989,467
12.9,-4138,1042,182
13,-4136,1053,160
13.1,-4687,1402,-890
13.2,-3768,1291,-408
13.3,-2619,1422,-77
13.4,-2402,1364,-399
13.5,-3485,1353,-488
13.6,-3349,1316,-2467
13.7,-3375,1273,-2342
13.8,-3412,1215,-2536
13.9,-3729,1271,-2075
14,-3720,1240,-1907
14.1,-3408,1135,-1035
14.2,-4086,1294,-1654
14.3,-4086,1294,-1654
14.4,-3539,1012,-1273
14.5,-3809,1073,-1437
14.6,-3603,1010,-1293
14.7,-3599,1005,-1307
14.8,-3663,992,-1354
14.9,-3798,972,-1338
15,-3788,973,-1328
15.1,-3772,926,-1450
15.2,-3675,963,-1356
15.3,-3696,969,-1366
15.4,-3682,955,-1362
15.5,-3969,946,-1130
15.6,-3705,902,-1303
15.7,-3756,910,-1372
15.8,-3802,903,-1278
15.9,-3781,892,-1311
16,-3779,895,-1264
16.1,-3805,930,-1210
16.2,-3762,896,-1260
16.3,-3805,905,-1247
16.4,-3711,897,-1379
16.5,-3787,920,-1330
16.6,-3767,921,-1343
16.7,-3767,910,-1302
16.8,-3787,932,-1286
16.9,-3793,935,-1330
17,-3718,943,-1401
17.1,-3730,930,-1367
17.2,-3715,940,-1381
17.3,-3750,938,-1356
17.4,-3699,942,-1349
17.5,-3731,934,-1371
17.6,-3699,962,-1400
17.7,-3700,949,-1411
17.8,-3700,949,-1411
17.9,-3738,925,-1392
18,-3770,944,-1385
18.1,-3608,946,-1479
18.2,-3627,961,-1475
18.3,-3682,953,-1442
18.4,-3708,961,-1441
18.5,-3708,961,-1441
18.6,-3716,957,-1434
18.7,-3709,946,-1438
18.8,-3704,964,-1420
18.9,-3706,969,-1399
19,-3713,957,-1408
19.1,-3718,944,-1419
19.2,-3725,943,-1419
19.3,-3724,949,-1433
19.4,-3741,957,-1388
19.5,-3741,957,-1388
19.6,-3704,955,-1402
19.7,-3711,965,-1422
19.8,-3714,960,-1433
19.9,-3697,959,-1437
20,-3712,948,-1393
20.1,-3712,948,-1393
20.2,-3733,952,-1335
20.3,-3739,949,-1369
20.4,-3728,948,-1387
20.5,-3716,954,-1367
20.6,-3715,946,-1378
20.7,-3704,967,-1386
20.8,-3709,969,-1394
20.9,-3699,967,-1388
21,-3936,790,-1911
21.1,-3898,593,-2433
21.2,-3292,861,-842
21.3,-3287,876,-806
21.4,-3654,1097,-814
21.5,-3740,1135,-1475
21.6,-3740,1135,-1475
21.7,-3535,1073,-1588
21.8,-3879,836,-915
21.9,-3879,836,-915
22,-4151,1232,-1108
22.1,-3454,940,-654
22.2,-3454,940,-654
22.3,-4191,1270,-745
22.4,-4263,1147,-391
22.5,-4312,1117,-310
22.6,-3814,1306,-275
22.7,-3710,1403,144
22.8,-3701,1389,152
22.9,-4186,1538,681
23,-4239,1653,804
23.1,-3599,1457,860
23.2,-3614,1468,786
23.3,-3571,1209,54
23.4,-3817,1410,-224
23.5,-3861,1405,-217
23.6,-3881,1302,-348
23.7,-4005,1120,-1771
23.8,-2994,1313,-1479
23.9,-2877,1155,-1422
24,-3275,1199,-2092
24.1,-3974,1063,-2770
24.2,-3977,1055,-2765
24.3,-2965,891,-1883
24.4,-3526,953,-2004
24.5,-3526,953,-2004
24.6,-3320,843,-2105
24.7,-4010,909,-2174
24.8,-3539,808,-1904
24.9,-3588,827,-1917
25,-3641,828,-1688
25.1,-3517,792,-1828
25.2,-3706,775,-1750
25.3,-3561,778,-1743
25.4,-3621,846,-1663
25.5,-3731,830,-1544
25.6,-3744,820,-1541
25.7,-3604,846,-1605
25.8,-3661,836,-1565
25.9,-3649,830,-1571
26,-3665,819,-1606
26.1,-3684,838,-1539
26.2,-3680,834,-1545
26.3,-3671,831,-1556
26.4,-3671,849,-1579
26.5,-3654,844,-1565
26.6,-3619,825,-1495
26.7,-3667,850,-1482
26.8,-3744,843,-1550
26.9,-3709,847,-1542
27,-3709,847,-1542
27.1,-3667,850,-1581
27.2,-3699,850,-1564
27.3,-3716,832,-1574
27.4,-3740,831,-1542
27.5,-3508,802,-1677
27.6,-3590,844,-1683
27.7,-3598,834,-1677
27.8,-3617,826,-1693
27.9,-3628,819,-1682
28,-3614,827,-1686
28.1,-3645,827,-1670
28.2,-3622,823,-1678
28.3,-3622,826,-1707
28.4,-3621,838,-1669
28.5,-3626,824,-1674
28.6,-3661,842,-1680
28.7,-3617,838,-1675
28.8,-3583,817,-1722
28.9,-3583,817,-1722
29,-3586,834,-1746
29.1,-3611,832,-1738
29.2,-3607,826,-1722
29.3,-3596,833,-1722
29.4,-3628,827,-1699
29.5,-3621,833,-1699
29.6,-3598,821,-1708
29.7,-3581,817,-1720
29.8,-3619,826,-1710
29.9,-3634,834,-1704
30,-3609,819,-1706
30.1,-3619,808,-1703
30.2,-3619,825,-1706
30.3,-3595,816,-1723
30.4,-3606,816,-1698
30.5,-3609,822,-1713
30.6,-3607,830,-1699
30.7,-3662,819,-1730
30.8,-3611,825,-1735
30.9,-4120,651,-2204
31,-4563,500,-3003
31.1,-3489,528,-1841
31.2,-3683,1051,-974
31.3,-4033,1060,-969
31.4,-3784,1125,-990
31.5,-3741,1085,-1211
31.6,-3720,1094,-1186
31.7,-3594,955,-1667
31.8,-3757,1113,-1399
31.9,-3720,1104,-1287
32,-4200,609,-684
32.1,-3214,914,-1172
32.2,-3302,752,-1169
32.3,-4195,984,-433
32.4,-4124,830,-543
32.5,-4124,830,-543
32.6,-3732,914,-215
32.7,-4068,1130,77
32.8,-4055,1088,316
32.9,-4075,1105,322
33,-4581,1283,534
33.1,-4021,1114,334
33.2,-3851,1035,-46
33.3,-3734,1035,-106
33.4,-3824,1173,-379
33.5,-3937,1125,-349
33.6,-4278,1290,-626
33.7,-3442,1049,-1229
33.8,-3521,1003,-1137
33.9,-3396,1443,-1659
34,-3748,1470,-1656
34.1,-3546,1402,-1309
34.2,-3435,1271,-1331
34.3,-2779,1299,-2007
34.4,-3053,1049,-2525
34.5,-3150,963,-2433
34.6,-3875,1254,-2645
34.7,-3107,1035,-1752
34.8,-3414,1030,-1953
34.9,-3480,1029,-2028
35,-3556,825,-2087
35.1,-3413,857,-1863
35.2,-3563,895,-1891
35.3,-3643,851,-1673
35.4,-3547,800,-1727
35.5,-3519,784,-1731
35.6,-3620,815,-1710
35.7,-3637,815,-1719
35.8,-3631,806,-1729
35.9,-3644,776,-1733
36,-3578,810,-1781
36.1,-3567,789,-1777
36.2,-3575,802,-1786
36.3,-3575,808,-1767
36.4,-3585,776,-1793
36.5,-3579,783,-1774
36.6,-3584,792,-1789
36.7,-3610,795,-1736
36.8,-3598,794,-1747
36.9,-3675,795,-1678
37,-3675,795,-1678
37.1,-3624,787,-1763
37.2,-3599,783,-1753
37.3,-3599,783,-1753
37.4,-3610,784,-1749
37.5,-3590,785,-1760
37.6,-3604,771,-1762
37.7,-3615,785,-1740
37.8,-3608,786,-1732
37.9,-3601,792,-1724
38,-3620,806,-1772
38.1,-3540,758,-1818
38.2,-3547,753,-1768
38.3,-3627,777,-1734
38.4,-3624,792,-1724
38.5,-3609,792,-1725
38.6,-3616,780,-1717
38.7,-3631,777,-1717
38.8,-3667,792,-1691
38.9,-3615,794,-1692
39,-3614,777,-1700
39.1,-3605,785,-1706
39.2,-3610,788,-1704
39.3,-3610,788,-1704
39.4,-3632,772,-1685
39.5,-3632,774,-1730
39.6,-3639,774,-1686
39.7,-3643,785,-1695
39.8,-3619,785,-1701
39.9,-3635,781,-1683
40,-3635,781,-1683
40.1,-3622,790,-1703
40.2,-3624,792,-1688
40.3,-3632,784,-1688
40.4,-3632,777,-1677
40.5,-3641,788,-1705
40.6,-3632,785,-1703
40.7,-3629,783,-1694
40.8,-3630,772,-1668
40.9,-3626,774,-1684
41,-3621,775,-1738
41.1,-3359,406,-2936
41.2,-3056,929,-2274
41.3,-3245,853,-1895
41.4,-3178,1016,-1549
41.5,-3566,1135,-1453
41.6,-3442,1092,-1561
41.7,-3213,1110,-2040
41.8,-3595,1028,-1996
41.9,-3603,956,-1925
42,-3929,1065,-1186
42.1,-3587,1369,-958
42.2,-3800,1400,-1016
42.3,-3599,1205,-1315
42.4,-3866,1255,-816
42.5,-4150,1167,-208
42.6,-4228,1230,149
42.7,-4427,1507,569
42.8,-3947,1406,62
42.9,-3932,1416,29
43,-3879,1742,684
43.1,-4144,1540,661
43.2,-3788,1575,113
43.3,-3785,1500,-23
43.4,-3055,1055,-186
43.5,-4177,1203,-827
43.6,-4042,1196,-719
43.7,-3944,1192,-881
43.8,-3745,1160,-758
43.9,-3581,1062,-773
44,-3681,1306,-973
44.1,-3836,1141,-1164
44.2,-3290,923,-1485
44.3,-3290,923,-1485
44.4,-3442,865,-2654
44.5,-3330,837,-2670
44.6,-3147,848,-2294
44.7,-3183,826,-2252
44.8,-3399,813,-2632
44.9,-2947,749,-2334
45,-2972,735,-2323
45.1,-3304,696,-2384
45.2,-3397,736,-2353
45.3,-3404,738,-2360
45.4,-3244,676,-2347
45.5,-3357,685,-2216
45.6,-3337,681,-2226
45.7,-3312,679,-2256
45.8,-3390,680,-2151
45.9,-3412,693,-2158
46,-3432,692,-2133
46.1,-3435,679,-2098
46.2,-3480,685,-2059
46.3,-3458,681,-2061
46.4,-3442,682,-2067
46.5,-3478,699,-2056
46.6,-3443,673,-2092
46.7,-3445,653,-2061
46.8,-3466,652,-2065
46.9,-3444,652,-2065
47,-3459,679,-2061
47.1,-3442,658,-2063
47.2,-3442,658,-2063
47.3,-3455,657,-2053
47.4,-3451,673,-2059
47.5,-3465,670,-2056
47.6,-3435,705,-2115
47.7,-3474,672,-2039
47.8,-3446,661,-2042
47.9,-3481,667,-2062
48,-3448,683,-2055
48.1,-3439,660,-2057
48.2,-3448,673,-2059
48.3,-3429,638,-2066
48.4,-3460,663,-2005
48.5,-3460,663,-2005
48.6,-3461,661,-2044
48.7,-3502,664,-2029
48.8,-3443,660,-2073
48.9,-3463,631,-2079
49,-3453,663,-2037
49.1,-3457,661,-2036
49.2,-3453,654,-2036
49.3,-3514,688,-2020
49.4,-3379,662,-2015
49.5,-3387,654,-2009
49.6,-3420,642,-2036
